date,comunidad,var,name,value
1999-03-01,Total España,CONSUMO X CAPITA,MARISCO/MOLUSCO/CRUS,0.49625544870368804
1999-03-01,Total España,CONSUMO X CAPITA,MEJILLON,0.12174826673246977
1999-03-01,Total España,CONSUMO X CAPITA,MEJILLON CONGELADO,0.002863323550131677
1999-03-01,Total España,CONSUMO X CAPITA,MEJILLON FRESCO,0.11888494318233811
1999-03-01,Total España,CONSUMO X CAPITA,MEJILLONES,0.02005955509431417
1999-03-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD,0.38252473853071606
1999-03-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.CON,0.13754027929622448
1999-03-01,Total España,CONSUMO X CAPITA,MERLUZA/PESCAD.FRE,0.2449844592344916
1999-03-01,Total España,CONSUMO X CAPITA,OTRAS CONS.PESCADO,0.06675265565874156
1999-03-01,Total España,CONSUMO X CAPITA,OTROS MARISC.COCI.,0.003003670262435724
1999-03-01,Total España,CONSUMO X CAPITA,OTROS MARISC.CONG.,0.020355285666669127
1999-03-01,Total España,CONSUMO X CAPITA,OTROS MARISC.FRES.,0.02448874696315243
1999-03-01,Total España,CONSUMO X CAPITA,OTROS MARISC/MOLUSC,0.0478479535113864
1999-03-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS,0.373555581137971
1999-03-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS CON,0.0730216425544084
1999-03-01,Total España,CONSUMO X CAPITA,OTROS PESCADOS FRE,0.3005339385835626
1999-03-01,Total España,CONSUMO X CAPITA,PESCADOS,1.2626342096259429
1999-03-01,Total España,CONSUMO X CAPITA,PESCADOS CONGELADOS,0.2387395317752197
1999-03-01,Total España,CONSUMO X CAPITA,PESCADOS FRESCOS,1.023894677850723
1999-03-01,Total España,CONSUMO X CAPITA,PULPO,0.0027345053177668904
1999-03-01,Total España,CONSUMO X CAPITA,PULPO CONGELADO,0.005920626306197876
1999-03-01,Total España,CONSUMO X CAPITA,SALMON,0.05625973396098111
1999-03-01,Total España,CONSUMO X CAPITA,SALMON CONGELADO,0.001224775683981926
1999-03-01,Total España,CONSUMO X CAPITA,SALMON FRESCO,0.05503495827699919
1999-03-01,Total España,CONSUMO X CAPITA,SARDINA/BOQUERON,0.18312539269083722
1999-03-01,Total España,CONSUMO X CAPITA,SARDINAS,0.024319579051000233
1999-03-01,Total España,CONSUMO X CAPITA,TOTAL CARNE,3.8008345759401294
1999-03-01,Total España,CONSUMO X CAPITA,TOTAL PESCA,2.0465472872975554
1999-03-01,Total España,CONSUMO X CAPITA,TRUCHA FRESCA,0.0527277585743723
1999-04-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.0025154641989209316
1999-04-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,0.001077912874320905
1999-04-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.04787652409210544
1999-04-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.049098292346537994
1999-04-01,Total España,CONSUMO X CAPITA,ATUN,0.14880535853078627
1999-04-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.01507574309274581
1999-04-01,Total España,CONSUMO X CAPITA,BACALAO,0.03003394581393698
1999-04-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.004553749576008102
1999-04-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.025480196237928878
1999-04-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,1.4385538011164834e-4
