date,source,catTL,value
2016-10-01,Mixed,Low,0.73395898769015
2016-10-01,Mixed,Medium,0.53969798750309
2016-10-01,Wild,High,0.76895987273142
2016-10-01,Wild,Low,0.17636526300844999
2016-10-01,Wild,Medium,0.12068982702718001
2016-11-01,Farmed,High,0.13117307219184
2016-11-01,Farmed,Low,0.10958416471535
2016-11-01,Farmed,Medium,0.10913829054161
2016-11-01,Mixed,Low,0.84495206549822
2016-11-01,Mixed,Medium,0.59297212513432
2016-11-01,Wild,High,0.73471286173529
2016-11-01,Wild,Low,0.15940226209853
2016-11-01,Wild,Medium,0.10882138179761
2016-12-01,Farmed,High,0.17216473050431
2016-12-01,Farmed,Low,0.15816681323804999
2016-12-01,Farmed,Medium,0.11967173160380999
2016-12-01,Mixed,Low,1.62457325400663
2016-12-01,Mixed,Medium,0.90864426987256
2016-12-01,Wild,High,0.81091320429111
2016-12-01,Wild,Low,0.10304809386075
2016-12-01,Wild,Medium,0.11401077182043
2017-01-01,Farmed,High,0.12568633391682998
2017-01-01,Farmed,Low,0.10985956414271
2017-01-01,Farmed,Medium,0.09824198061274
2017-01-01,Mixed,Low,0.7169263076039
2017-01-01,Mixed,Medium,0.45068237298118
2017-01-01,Wild,High,0.7102820186948701
2017-01-01,Wild,Low,0.10587086163346
2017-01-01,Wild,Medium,0.08650038727415
2017-02-01,Farmed,High,0.12814797241485
2017-02-01,Farmed,Low,0.0941574216159
2017-02-01,Farmed,Medium,0.08632780284059
2017-02-01,Mixed,Low,0.56387522174319
2017-02-01,Mixed,Medium,0.38622255767977
2017-02-01,Wild,High,0.74323474846181
2017-02-01,Wild,Low,0.12961734953664
2017-02-01,Wild,Medium,0.09772021681052
2017-03-01,Farmed,High,0.14115988323406
2017-03-01,Farmed,Low,0.0969929213331
2017-03-01,Farmed,Medium,0.09477180386048001
2017-03-01,Mixed,Low,0.65392383173682
2017-03-01,Mixed,Medium,0.47668125811938
2017-03-01,Wild,High,0.88550332353511
2017-03-01,Wild,Low,0.16836119863867
2017-03-01,Wild,Medium,0.15731273597999
2017-04-01,Farmed,High,0.12038838544483
2017-04-01,Farmed,Low,0.08241120866907
2017-04-01,Farmed,Medium,0.08438705868753
2017-04-01,Mixed,Low,0.59039597965626
2017-04-01,Mixed,Medium,0.42361384538637
2017-04-01,Wild,High,0.7719986738216
2017-04-01,Wild,Low,0.14443964185644
2017-04-01,Wild,Medium,0.1532439567528
2017-05-01,Farmed,High,0.11146696614315
2017-05-01,Farmed,Low,0.0761161488132
2017-05-01,Farmed,Medium,0.08574320938416
2017-05-01,Mixed,Low,0.53626314835276
2017-05-01,Mixed,Medium,0.39663934783573
2017-05-01,Wild,High,0.7290635448567
2017-05-01,Wild,Low,0.16847622949345
2017-05-01,Wild,Medium,0.10604857370284
2017-06-01,Farmed,High,0.11351627426954
2017-06-01,Farmed,Low,0.08207263692436
2017-06-01,Farmed,Medium,0.07399349922571
2017-06-01,Mixed,Low,0.5725130291977
2017-06-01,Mixed,Medium,0.43169056463709
2017-06-01,Wild,High,0.77914485631917
2017-06-01,Wild,Low,0.18277210704849
2017-06-01,Wild,Medium,0.10183638533817
2017-07-01,Farmed,High,0.12193797711196
2017-07-01,Farmed,Low,0.09357045794896
2017-07-01,Farmed,Medium,0.0823705598877
2017-07-01,Mixed,Low,0.62092889384873
2017-07-01,Mixed,Medium,0.43960898408371
2017-07-01,Wild,High,0.74045816853818
2017-07-01,Wild,Low,0.18005904481985
2017-07-01,Wild,Medium,0.1073517025053
2017-08-01,Farmed,High,0.11195432418007
2017-08-01,Farmed,Low,0.08997706533188
2017-08-01,Farmed,Medium,0.06965903979153
2017-08-01,Mixed,Low,0.58896480791604
2017-08-01,Mixed,Medium,0.40520880995223
2017-08-01,Wild,High,0.66622098272949
2017-08-01,Wild,Low,0.14686174046326
2017-08-01,Wild,Medium,0.08873520351106
2017-09-01,Farmed,High,0.15182870888052
2017-09-01,Farmed,Low,0.11249197124310001
2017-09-01,Farmed,Medium,0.09425873331511
2017-09-01,Mixed,Low,0.65287993849293
2017-09-01,Mixed,Medium,0.46469537544959
2017-09-01,Wild,High,0.72683234576711
2017-09-01,Wild,Low,0.17247169620197
2017-09-01,Wild,Medium,0.10547851154441
2017-10-01,Farmed,High,0.14021998594733
2017-10-01,Farmed,Low,0.10813743408677
2017-10-01,Farmed,Medium,0.08402749271002999
