date,Origin,catTL,value
2003-11-01,Wild,Medium,0.8873188369024664
2003-11-01,Wild,High,0.6902855423680041
2003-12-01,Farmed,Low,0.25529478170873005
2003-12-01,Farmed,Medium,0.12727893914771943
2003-12-01,Farmed,High,0.19452825157452924
2003-12-01,Wild,Low,1.4497689088469725
2003-12-01,Wild,Medium,1.290433216345102
2003-12-01,Wild,High,0.7130677108433879
2004-01-01,Farmed,Low,0.22312138755919456
2004-01-01,Farmed,Medium,0.09188886808540177
2004-01-01,Farmed,High,0.12481668306340996
2004-01-01,Wild,Low,0.8715857910453956
2004-01-01,Wild,Medium,0.7986993456682823
2004-01-01,Wild,High,0.7362213366847439
2004-02-01,Farmed,Low,0.1985812956026083
2004-02-01,Farmed,Medium,0.07520416836443328
2004-02-01,Farmed,High,0.0959760252596294
2004-02-01,Wild,Low,0.7543451158723022
2004-02-01,Wild,Medium,0.8015908426435225
2004-02-01,Wild,High,0.7531868498269486
2004-03-01,Farmed,Low,0.20433951890354807
2004-03-01,Farmed,Medium,0.07205091231375732
2004-03-01,Farmed,High,0.10439733156552483
2004-03-01,Wild,Low,0.7630893933395179
2004-03-01,Wild,Medium,0.8759263710187712
2004-03-01,Wild,High,0.7883595049195894
2004-04-01,Farmed,Low,0.2003085720494322
2004-04-01,Farmed,Medium,0.06802830173592922
2004-04-01,Farmed,High,0.10323454011304353
2004-04-01,Wild,Low,0.8433996500198656
2004-04-01,Wild,Medium,0.9799173686600984
2004-04-01,Wild,High,0.8060809992314327
2004-05-01,Farmed,Low,0.16654522400806793
2004-05-01,Farmed,Medium,0.060480637184991026
2004-05-01,Farmed,High,0.1135867661865068
2004-05-01,Wild,Low,0.7498156596961784
2004-05-01,Wild,Medium,0.8189717405241802
2004-05-01,Wild,High,0.8199692355268414
2004-06-01,Farmed,Low,0.16678578512380046
2004-06-01,Farmed,Medium,0.0482043985443127
2004-06-01,Farmed,High,0.10790738024131694
2004-06-01,Wild,Low,0.71496049764044
2004-06-01,Wild,Medium,0.753969030722063
2004-06-01,Wild,High,0.7742726270692095
2004-07-01,Farmed,Low,0.172344414152479
2004-07-01,Farmed,Medium,0.04492848014254541
2004-07-01,Farmed,High,0.0990828363424164
2004-07-01,Wild,Low,0.7579349546211344
2004-07-01,Wild,Medium,0.7285093284012755
2004-07-01,Wild,High,0.8578854782354454
2004-08-01,Farmed,Low,0.1501723010202617
2004-08-01,Farmed,Medium,0.04860954157189785
2004-08-01,Farmed,High,0.08731368147935639
2004-08-01,Wild,Low,0.6643650168774752
2004-08-01,Wild,Medium,0.6377806317958075
2004-08-01,Wild,High,0.6887755392826174
2004-09-01,Farmed,Low,0.21233114971164013
2004-09-01,Farmed,Medium,0.06527566330571075
2004-09-01,Farmed,High,0.11290223881362042
2004-09-01,Wild,Low,0.7861813550152589
2004-09-01,Wild,Medium,0.7671251037800838
2004-09-01,Wild,High,0.7656326721452522
2004-10-01,Farmed,Low,0.23589708823917102
2004-10-01,Farmed,Medium,0.07445033080869724
2004-10-01,Farmed,High,0.1267752316323886
2004-10-01,Wild,Low,0.8970326316827678
2004-10-01,Wild,Medium,0.904196827524469
2004-10-01,Wild,High,0.8087748073689919
2004-11-01,Farmed,Low,0.19393846606897078
2004-11-01,Farmed,Medium,0.07461705633445245
2004-11-01,Farmed,High,0.11764534184203351
2004-11-01,Wild,Low,0.8735707775191727
2004-11-01,Wild,Medium,0.8543785258908458
2004-11-01,Wild,High,0.681699946148889
2004-12-01,Farmed,Low,0.29036869929662185
2004-12-01,Farmed,Medium,0.10136387971407013
2004-12-01,Farmed,High,0.1398508000794019
2004-12-01,Wild,Low,1.5552064152509846
2004-12-01,Wild,Medium,1.1284860083019175
2004-12-01,Wild,High,0.7652175255861218
2005-01-01,Farmed,Low,0.21915840543661572
2005-01-01,Farmed,Medium,0.08511513471742098
2005-01-01,Farmed,High,0.11530319680793925
